Portfolio,Current Holding,Holding Name,Holding Sector,Holding Quant,Holding Score,Holding Val,Holding Growth,Holding Profit,Holding Mom,Holding Rev,Holding Analyst,Holding Upside,Holding FSI,Alt Ticker,Alt Name,Alt Quant,Alt Score,Alt Val,Alt Growth,Alt Profit,Alt Mom,Alt Rev,Alt Analyst,Alt Upside,Alt Div Yield,Alt FSI,Score Diff
Power,TTMI,"TTM Technologies, Inc.",Technology,Buy,3.55,C+,A-,C+,A,B+,None,+30.9%,,SNDK,Sandisk Corporation,Buy,3.92,C+,A+,C+,A+,A,Buy,+23.0%,0.0%,,0.37
Power,COHR,Coherent Corp.,Technology,Hold,3.40,C-,B+,C,A,A,Buy,+14.4%,,LITE,Lumentum Holdings Inc.,Buy,3.61,D,A+,C+,A+,A-,Buy,+7.2%,0.0%,FSI-SM,0.20
Power,COHR,Coherent Corp.,Technology,Hold,3.40,C-,B+,C,A,A,Buy,+14.4%,,NVDA,NVIDIA Corporation,Buy,3.60,C,A,A,B,B-,Strong Buy,+45.4%,2.0%,FSI-LC,0.20
Power,COHR,Coherent Corp.,Technology,Hold,3.40,C-,B+,C,A,A,Buy,+14.4%,,ADEA,Adeia Inc.,Buy,3.98,B,A,A,A,C,Strong Buy,+32.3%,87.0%,,0.58
Power,STRL,"Sterling Infrastructure, Inc.",Industrials,Hold,3.35,C-,B,B+,A-,B,Strong Buy,+19.0%,FSI-SM,FIX,"Comfort Systems USA, Inc.",Buy,3.72,D+,A,B+,A+,B-,None,+23.5%,16.0%,FSI-SM,0.37
Power,STRL,"Sterling Infrastructure, Inc.",Industrials,Hold,3.35,C-,B,B+,A-,B,Strong Buy,+19.0%,FSI-SM,FTAI,FTAI Aviation Ltd.,Buy,3.95,D+,A,A,A,A-,Strong Buy,+40.9%,57.0%,,0.60
Power,STRL,"Sterling Infrastructure, Inc.",Industrials,Hold,3.35,C-,B,B+,A-,B,Strong Buy,+19.0%,FSI-SM,VRT,Vertiv Holdings Co,Buy,3.91,D,A,A-,A+,A-,Strong Buy,+0.9%,9.0%,,0.56
Power,BRK-B,Berkshire Hathaway Inc.,Financial Services,Hold,2.61,B-,C-,B-,B+,F,Buy,+6.3%,,ECPG,"Encore Capital Group, Inc.",Buy,4.29,A-,A+,A-,A+,C+,Buy,+23.5%,0.0%,,1.68
Power,BRK-B,Berkshire Hathaway Inc.,Financial Services,Hold,2.61,B-,C-,B-,B+,F,Buy,+6.3%,,JXN,Jackson Financial Inc.,Buy,4.15,A,A+,C-,A-,A+,None,+19.7%,344.0%,,1.54
Power,BRK-B,Berkshire Hathaway Inc.,Financial Services,Hold,2.61,B-,C-,B-,B+,F,Buy,+6.3%,,BBT,Beacon Financial Corporation,Buy,3.94,B-,A+,C,A,A,None,+20.2%,448.0%,,1.33
Power,TMUS,"T-Mobile US, Inc.",Communication Services,Hold,3.13,C+,B-,B+,B,C,Buy,+25.3%,,META,"Meta Platforms, Inc.",Hold,3.35,C,A-,A,B-,C+,Strong Buy,+35.1%,32.0%,FSI-LC,0.22
Power,TMUS,"T-Mobile US, Inc.",Communication Services,Hold,3.13,C+,B-,B+,B,C,Buy,+25.3%,,GOOGL,Alphabet Inc.,Hold,3.35,C-,A-,A,B+,C-,Strong Buy,+24.2%,27.0%,FSI-LC,0.22
Power,TMUS,"T-Mobile US, Inc.",Communication Services,Hold,3.13,C+,B-,B+,B,C,Buy,+25.3%,,OMC,Omnicom Group Inc.,Buy,3.77,B,A,C,B+,A+,Buy,+29.5%,400.0%,,0.64
