ticker,name,sector,industry,quant_rating,quant_score,val_grade,growth_grade,profit_grade,mom_grade,rev_grade,val_s,growth_s,profit_s,mom_s,rev_s,analyst_label,num_analysts,upside,div_yield,price,market_cap,pe_ttm,pe_fwd,rev_growth,earn_growth,roe,net_margin,mom_3m,mom_6m,mom_12m
ASGN,ASGN Incorporated,Technology,Information Technology Services,Hold,2.64998489340683,A,D+,C,C-,B-,94.22455345505693,13.381265777136676,28.67212083071114,23.57107399921994,54.008438818565395,None,6,48.057593045368094,0.0,36.81,1571787008.0,14.157693,6.299997,-0.005,-0.381,0.0634,0.02851,-20.80464638010422,-30.756207476189534,
MIR,"Mirion Technologies, Inc.",Industrials,Specialty Industrial Machinery,Hold,2.6477403945514166,C-,B,C+,C-,A,21.262819166680394,55.89986971896519,39.012392646733566,17.489711934156375,90.57377049180327,Strong Buy,10,43.712574850299404,0.0,20.04,5025032192.0,182.18182,29.987432,0.091,0.024,0.01715,0.03112,-20.507732138939115,-9.11564311386569,
WLK,Westlake Corporation,Basic Materials,Specialty Chemicals,Hold,2.644525907346668,C,D+,D,A-,B+,33.16277038180376,8.333333333333332,6.601978691019786,84.05631659056316,69.86301369863014,Buy,14,-3.3194099106986563,1.86,114.22,14651359232.0,,36.58177,-0.109,,-0.14466,-0.135,57.829919704223954,29.27233934930207,
PENG,"Penguin Solutions, Inc.",Technology,Information Technology Services,Hold,2.6444669727703882,B+,D+,C-,C-,A,72.12198070502836,10.98539487919221,24.370118091289378,22.515335248023263,93.24894514767934,None,8,51.2380416432189,0.0,17.77,933994048.0,80.77273,7.380549,0.006,-0.611,0.05709,0.01856,-20.70504185187638,-32.04588811004068,
CERT,"Certara, Inc.",Healthcare,Health Information Services,Hold,2.6443655431897723,B+,C-,C,D,A+,67.50168706461162,24.293785310734464,29.807017543859644,7.82122905027933,98.88888888888889,Buy,12,40.053353658536594,0.0,6.56,1044833216.0,,13.154465,0.033,,-0.0015,-0.0038100001,-29.31034279351563,-39.92674034644927,
XYZ,"Block, Inc.",Technology,Software - Infrastructure,Hold,2.644179734852646,B+,D+,C,B-,B-,68.15376487471599,10.119906238730616,30.928812053455744,45.66358188845159,52.320675105485236,Buy,39,42.76614357262103,0.0,59.9,36399136768.0,28.523811,12.7904005,0.036,-0.939,0.060100004,0.053969998,-5.356297782412667,-19.30486691214068,
SXC,"SunCoke Energy, Inc.",Basic Materials,Coking Coal,Hold,2.6436312445959365,A+,C,C-,D+,B-,96.30245960797765,33.33333333333333,19.21613394216134,12.404870624048705,54.794520547945204,Buy,2,53.47334410339255,7.75,6.19,524079520.0,,-123.8,-0.012,,-0.05804,-0.02406,-11.362715242780762,-17.65600616969215,
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,Hold,2.6429366391684956,D+,B-,B+,C-,B+,9.798023392513638,53.32415635392248,69.0802660032844,17.799999999999997,67.88617886178862,Strong Buy,21,28.164117226590424,0.9,419.7,127085166592.0,28.609407,19.017963,0.09,0.32,0.13087,0.29154,-14.378496944199181,-23.48557886498057,
EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream,Hold,2.642751988368088,B-,C+,B-,C,C+,52.59365678251127,41.31493506493507,47.47436773752563,28.57142857142857,37.66233766233766,Buy,20,1.9404208800218425,5.94,36.59,79098830848.0,13.755639,11.713298,-0.029,0.017,0.19504,0.11054,15.45997489018973,18.517809150455378,
PPC,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,Hold,2.6401122007634186,A-,C,B-,C,D,83.75548397599852,31.458448498249492,52.300092621179374,25.609756097560975,7.317073170731707,None,7,24.34374136501798,0.0,36.19,8596842496.0,7.9713655,8.738527,0.033,-0.626,0.27264,0.058509998,-5.77974448380969,-17.862008915101345,
